Condutividade,DO,pH,ORP,Profundidade,Temperatura,Turbidez,Clorofila
143.55,7.62,7.47,91.53,0.2,23.35,3.29,14.45
149.17,7.29,7.45,98.63,0.23,23.83,4.06,14.03
151.52,8.22,7.83,97.38,0.3,24.65,7.43,30.1
150.5,6.47,7.31,112.2,0.3,24.08,5.42,19.3
146.35,5.03,7.09,112.4,0.3,22.92,4.24,19.55
146.46,4.92,7.1,113.78,0.3,22.92,3.3,9.7
151.4,5.91,7.24,117.92,0.24,23.65,3.3,13.99
151.77,7.27,7.44,119.44,0.23,24.0,4.75,22.94
149.5,6.47,7.28,114.91,0.26,23.52,4.76,28.08
150.25,6.2,7.21,123.38,0.28,23.47,2.77,23.69
148.85,5.31,7.08,118.75,0.3,22.89,2.04,25.85
146.77,5.08,7.06,122.87,0.3,22.38,2.07,21.05
148.48,5.37,7.08,125.44,0.29,22.81,1.14,15.12
148.96,6.27,7.21,121.65,0.26,22.85,1.81,16.18
145.4,6.0,7.12,117.56,0.25,22.74,1.11,15.24
143.5,6.04,7.1,120.1,0.3,22.6,1.55,19.75
146.17,5.42,7.0,122.88,0.26,23.07,0.98,14.54
147.84,6.03,7.04,121.0,0.2,23.5,0.52,13.28
146.52,5.45,6.98,123.77,0.22,23.18,0.42,13.04
144.0,5.37,7.01,115.76,0.2,22.86,1.04,14.5
144.83,6.22,7.09,127.7,0.22,23.58,0.13,8.55
144.6,5.52,6.99,116.2,0.26,23.66,0.22,11.4
144.57,5.77,7.01,125.38,0.21,23.68,0.63,11.12
144.13,4.78,6.84,134.95,0.28,23.22,0.41,11.15
143.51,3.03,6.72,114.56,0.3,22.65,0.61,8.61
141.17,3.51,6.76,108.48,0.25,22.66,0.58,8.36
139.79,3.71,6.75,108.15,0.25,22.69,0.49,7.53
142.18,4.64,6.81,132.65,0.3,23.71,0.31,5.42
142.5,5.63,6.85,134.37,0.2,24.05,0.37,6.83
144.63,6.36,6.92,135.8,0.2,24.9,0.39,9.98
142.5,7.01,7.05,126.81,0.2,25.04,0.44,10.35
145.67,5.81,6.91,134.18,0.2,24.81,0.27,13.28
147.85,6.93,7.08,120.66,0.2,25.28,0.38,23.75
145.55,6.17,6.95,117.02,0.2,24.58,0.32,24.85
145.78,6.95,7.17,110.75,0.2,24.6,0.41,25.52
145.68,7.87,7.33,107.61,0.2,25.1,0.35,23.73
149.05,8.42,7.52,102.03,0.18,25.58,0.37,27.12
147.15,7.52,7.21,105.21,0.19,25.28,0.69,24.6
144.77,6.7,7.03,102.24,0.21,24.78,0.99,20.6
143.31,6.81,7.09,97.5,0.2,24.83,1.16,17.57
138.56,6.94,7.07,95.73,0.2,24.44,1.21,17.16
138.55,6.19,6.91,109.93,0.24,24.14,1.08,14.75
139.1,5.98,6.88,106.98,0.3,23.99,1.21,15.62
140.54,5.51,6.8,106.76,0.3,24.0,1.02,12.51
144.33,6.01,6.91,107.46,0.3,24.55,0.98,13.19
146.02,5.93,6.9,125.87,0.3,25.03,0.88,15.07
145.79,5.48,6.71,213.7,0.3,25.17,1.39,14.19
144.85,2.69,6.4,411.03,0.33,24.33,1.95,11.72
141.62,5.59,6.8,437.34,0.35,23.87,0.95,15.8
140.27,4.67,6.64,467.65,0.31,24.59,0.91,12.26
141.1,3.55,6.54,482.34,0.3,24.08,1.15,10.8
144.45,3.96,6.53,470.66,0.3,24.85,0.49,10.84
136.03,5.45,6.7,472.59,0.3,25.75,1.77,15.22
123.41,4.31,6.5,496.03,0.3,25.36,1.48,16.33
132.84,3.22,6.47,449.09,0.3,24.36,0.74,14.09
139.9,3.47,6.44,452.78,0.3,24.31,1.33,14.33
125.4,6.22,6.82,440.5,0.3,24.74,1.07,16.58
142.03,4.94,6.56,502.96,0.3,25.03,11.21,21.35
144.0,5.43,6.73,497.04,0.3,25.05,1.46,19.82
144.24,4.96,6.65,478.73,0.3,25.27,1.19,21.7
145.91,4.84,6.56,500.35,0.3,25.96,5.34,21.37
146.98,5.68,6.7,498.45,0.3,26.03,1.57,19.75
147.38,4.72,6.54,375.13,0.28,26.48,3.2,19.88
143.44,3.77,6.51,394.65,0.3,25.56,2.42,15.53
141.27,5.31,6.85,427.32,0.3,25.42,2.17,16.78
143.44,5.68,6.8,454.7,0.27,26.68,4.48,15.19
146.25,5.01,6.61,479.63,0.3,27.18,3.4,14.98
145.25,4.35,6.67,482.61,0.3,26.85,2.94,12.7
144.27,5.16,6.83,482.16,0.3,26.19,3.0,14.02
146.27,4.58,6.69,489.94,0.29,26.76,2.65,11.1
148.5,3.96,6.53,501.02,0.29,27.46,3.39,9.11
148.13,3.52,6.49,503.6,0.3,27.47,3.29,8.9
146.38,5.85,6.88,484.2,0.3,27.5,2.94,12.16
147.13,5.36,6.73,494.43,0.27,27.63,3.44,9.92
146.19,3.66,6.55,510.76,0.21,27.12,4.09,8.36
143.6,3.93,6.69,511.7,0.25,26.17,2.4,7.41
141.0,4.49,6.79,497.89,0.3,25.65,2.85,8.4
139.27,3.44,6.66,506.33,0.3,24.51,2.72,6.96
143.42,3.19,6.63,507.63,0.24,24.98,13.17,6.97
