Condutividade,DO,pH,ORP,Profundidade,Temperatura,Turbidez,Clorofila
142.06,8.84,8.76,128.02,0.27,27.66,4.9,34.65
142.27,8.19,8.51,140.41,0.32,27.59,5.95,24.16
141.81,6.61,7.72,153.4,0.32,27.04,5.82,18.72
142.35,7.06,7.89,157.65,0.3,27.07,5.19,17.82
144.25,8.02,8.28,160.0,0.3,27.5,4.98,19.73
141.02,8.87,9.26,178.64,0.35,27.58,5.86,21.81
138.35,8.85,9.89,167.92,0.4,27.78,6.44,17.47
138.91,8.72,9.87,160.76,0.4,27.93,6.65,16.84
138.5,7.91,9.43,160.97,0.4,28.2,5.19,14.24
139.52,5.88,8.37,176.01,0.42,27.88,3.03,14.01
138.23,4.62,8.06,179.66,0.44,27.2,2.32,16.53
139.27,5.19,8.3,177.29,0.42,27.64,2.06,17.49
138.42,6.01,8.5,175.82,0.41,27.41,2.02,25.47
137.56,6.63,8.65,173.41,0.4,27.04,2.34,31.81
137.04,6.52,8.55,174.47,0.4,26.98,2.7,31.62
137.88,4.82,8.04,176.9,0.4,26.7,3.23,24.67
140.38,4.81,8.02,179.75,0.4,26.91,2.8,20.92
142.79,5.33,8.1,181.91,0.4,27.07,2.75,20.09
144.9,6.9,8.93,181.45,0.4,27.56,2.82,26.12
145.36,7.47,8.31,177.31,0.39,27.78,2.88,28.16
142.98,6.76,7.71,177.43,0.39,27.62,2.36,28.76
142.98,7.4,8.01,182.44,0.36,27.88,4.14,33.42
143.6,7.52,8.05,187.83,0.35,27.85,2.71,34.4
142.4,7.38,7.97,187.49,0.4,27.74,2.94,33.07
143.29,7.42,7.88,188.19,0.4,28.16,2.91,26.24
145.65,8.04,8.33,183.69,0.4,28.58,2.53,27.08
147.52,8.39,8.55,193.73,0.4,28.89,2.19,27.96
147.94,8.78,8.71,184.25,0.4,29.05,1.99,25.82
148.96,8.67,8.76,182.06,0.4,29.05,1.79,24.11
151.5,8.79,8.8,192.41,0.39,29.23,1.7,25.86
151.73,8.67,8.86,193.71,0.39,29.18,1.77,27.62
152.63,8.52,8.71,197.66,0.38,29.27,2.0,25.23
152.56,8.15,8.46,206.18,0.4,29.06,1.72,26.24
